Pocet obrazku je:  7753
time to get pictures:  46.29034352302551 s
time to get labels:  3.003983974456787 s
(7753, 3, 480, 302)
Epoch: 58/100 	 Training set accuracy: 1479.95223
Epoch: 58/100 	 Validation set accuracy: 21840.63968
Epoch: 59/100 	 Training set accuracy: 1427.28821
Epoch: 59/100 	 Validation set accuracy: 19084.37567
Epoch: 60/100 	 Training set accuracy: 1462.51480
Epoch: 60/100 	 Validation set accuracy: 20512.75287
Epoch: 61/100 	 Training set accuracy: 1439.18633
Epoch: 61/100 	 Validation set accuracy: 21793.28261
Epoch: 62/100 	 Training set accuracy: 1481.12938
Epoch: 62/100 	 Validation set accuracy: 21869.77340
Epoch: 63/100 	 Training set accuracy: 1382.29759
Epoch: 63/100 	 Validation set accuracy: 21139.21958
Epoch: 64/100 	 Training set accuracy: 1402.75162
Epoch: 64/100 	 Validation set accuracy: 20255.68192
Epoch: 65/100 	 Training set accuracy: 1358.45741
Epoch: 65/100 	 Validation set accuracy: 20497.97093
Epoch: 66/100 	 Training set accuracy: 1311.32604
Epoch: 66/100 	 Validation set accuracy: 21116.03648
Epoch: 67/100 	 Training set accuracy: 1375.24509
Epoch: 67/100 	 Validation set accuracy: 21409.73461
Epoch: 68/100 	 Training set accuracy: 1271.96300
Epoch: 68/100 	 Validation set accuracy: 21567.41175
Epoch: 69/100 	 Training set accuracy: 1269.08465
Epoch: 69/100 	 Validation set accuracy: 21220.33039
Epoch: 70/100 	 Training set accuracy: 1278.45137
Epoch: 70/100 	 Validation set accuracy: 20266.29761
Epoch: 71/100 	 Training set accuracy: 1314.77139
Epoch: 71/100 	 Validation set accuracy: 19955.58299
Epoch: 72/100 	 Training set accuracy: 1277.81964
Epoch: 72/100 	 Validation set accuracy: 19638.26352
Epoch: 73/100 	 Training set accuracy: 1259.12013
Epoch: 73/100 	 Validation set accuracy: 21198.90447
Epoch: 74/100 	 Training set accuracy: 1200.56825
Epoch: 74/100 	 Validation set accuracy: 19938.75499
Epoch: 75/100 	 Training set accuracy: 1229.51628
Epoch: 75/100 	 Validation set accuracy: 21165.37216
Epoch: 76/100 	 Training set accuracy: 1248.65594
Epoch: 76/100 	 Validation set accuracy: 20180.50216
Epoch: 77/100 	 Training set accuracy: 1216.16386
Epoch: 77/100 	 Validation set accuracy: 19377.67129
Epoch: 78/100 	 Training set accuracy: 1196.09232
Epoch: 78/100 	 Validation set accuracy: 19379.14143
Epoch: 79/100 	 Training set accuracy: 1180.08154
Epoch: 79/100 	 Validation set accuracy: 22630.45611
Epoch: 80/100 	 Training set accuracy: 1226.56724
Epoch: 80/100 	 Validation set accuracy: 19187.00594
Epoch: 81/100 	 Training set accuracy: 1173.73509
Epoch: 81/100 	 Validation set accuracy: 20533.31240
Epoch: 82/100 	 Training set accuracy: 1193.06920
Epoch: 82/100 	 Validation set accuracy: 20266.37968
Epoch: 83/100 	 Training set accuracy: 1161.96985
Epoch: 83/100 	 Validation set accuracy: 20746.68481
Epoch: 84/100 	 Training set accuracy: 1161.81676
Epoch: 84/100 	 Validation set accuracy: 20608.45228
Epoch: 85/100 	 Training set accuracy: 1213.60799
Epoch: 85/100 	 Validation set accuracy: 20645.24162
Epoch: 86/100 	 Training set accuracy: 1147.85706
Epoch: 86/100 	 Validation set accuracy: 20895.36624
Epoch: 87/100 	 Training set accuracy: 1070.99086
Epoch: 87/100 	 Validation set accuracy: 19703.23645
Epoch: 88/100 	 Training set accuracy: 1140.43913
Epoch: 88/100 	 Validation set accuracy: 19613.07383
Epoch: 89/100 	 Training set accuracy: 1070.22105
Epoch: 89/100 	 Validation set accuracy: 20141.47804
Epoch: 90/100 	 Training set accuracy: 1193.03497
Epoch: 90/100 	 Validation set accuracy: 18994.44064
Epoch: 91/100 	 Training set accuracy: 1117.83625
Epoch: 91/100 	 Validation set accuracy: 19405.88354
Epoch: 92/100 	 Training set accuracy: 1053.93846
Epoch: 92/100 	 Validation set accuracy: 20233.39296
Epoch: 93/100 	 Training set accuracy: 1106.27342
Epoch: 93/100 	 Validation set accuracy: 21905.58588
Epoch: 94/100 	 Training set accuracy: 1102.95351
Epoch: 94/100 	 Validation set accuracy: 21341.83374
Epoch: 95/100 	 Training set accuracy: 1083.34374
Epoch: 95/100 	 Validation set accuracy: 18657.87811
Epoch: 96/100 	 Training set accuracy: 1031.71297
Epoch: 96/100 	 Validation set accuracy: 20267.38270
Epoch: 97/100 	 Training set accuracy: 1041.76908
Epoch: 97/100 	 Validation set accuracy: 18457.19393
Epoch: 98/100 	 Training set accuracy: 1066.86463
Epoch: 98/100 	 Validation set accuracy: 20498.31836
Epoch: 99/100 	 Training set accuracy: 1042.05248
Epoch: 99/100 	 Validation set accuracy: 19587.32789
Epoch: 100/100 	 Training set accuracy: 987.82511
Epoch: 100/100 	 Validation set accuracy: 19857.44353
tensor([[-0.0490],
        [-0.2896],
        [-0.8789],
        [-0.0675],
        [-0.9296],
        [-0.9634],
        [-0.0905],
        [-0.2661],
        [-0.1299],
        [-1.1856],
        [-0.6592],
        [-0.5979],
        [-0.0491],
        [ 0.2340],
        [-0.3625],
        [-0.3316]], device='cuda:0', grad_fn=<AddmmBackward>) tensor([[ -70.3074],
        [ -70.6075],
        [  30.0475],
        [ 303.0920],
        [  25.5024],
        [  13.5339],
        [  43.5825],
        [-100.3949],
        [ -35.2430],
        [  25.8643],
        [ -44.8094],
        [  19.9031],
        [  25.2916],
        [ -38.6347],
        [  14.4301],
        [ -50.2596]], device='cuda:0', grad_fn=<AddmmBackward>) tensor([-111.7500, -112.0500, -112.8000, -112.9500, -113.2500, -113.7000,
        -113.8500, -113.8500, -113.8500, -113.8500, -113.7000, -113.7000,
        -113.7000, -113.8500, -113.8500, -113.8500], device='cuda:0')
-0.04901358112692833 -70.30738067626953 -111.75
-0.2896274924278259 -70.6075439453125 -112.05000305175781
-0.8789317011833191 30.047460556030273 -112.80000305175781
-0.06751162558794022 303.09197998046875 -112.94999694824219
-0.9295676946640015 25.502355575561523 -113.25
-0.9633511900901794 13.533884048461914 -113.69999694824219
-0.09054683893918991 43.5825309753418 -113.8499984741211
-0.2660975456237793 -100.3949203491211 -113.8499984741211
-0.1298748105764389 -35.242950439453125 -113.8499984741211
-1.1855669021606445 25.864328384399414 -113.8499984741211
-0.6592116951942444 -44.8094367980957 -113.69999694824219
-0.5979490280151367 19.903093338012695 -113.69999694824219
-0.0490652434527874 25.29160499572754 -113.69999694824219
0.23402456939220428 -38.634742736816406 -113.8499984741211
-0.36253049969673157 14.430075645446777 -113.8499984741211
-0.33164381980895996 -50.25960159301758 -113.8499984741211
